"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"1999","Moldova","Total","Age in completed years","Number","Total",":",""
"1999","Russia","Total","Age in completed years","Number","Total",":",""
"1999","San Marino","Total","Age in completed years","Number","Total",":",""
"1999","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1999","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1999","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1999","Armenia","Total","Age in completed years","Number","Total",":",""
"1999","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2000","Belgium","Total","Age in completed years","Number","Total","75,320",""
"2000","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2000","Czechia","Total","Age in completed years","Number","Total",":",""
"2000","Denmark","Total","Age in completed years","Number","Total","43,417",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","674,038",""
"2000","Estonia","Total","Age in completed years","Number","Total","1,784",""
"2000","Ireland","Total","Age in completed years","Number","Total","26,300",""
"2000","Greece","Total","Age in completed years","Number","Total","46,993",""
"2000","Spain","Total","Age in completed years","Number","Total",":",""
"2000","France","Total","Age in completed years","Number","Total",":",""
"2000","Croatia","Total","Age in completed years","Number","Total",":",""
"2000","Italy","Total","Age in completed years","Number","Total","56,601",""
"2000","Cyprus","Total","Age in completed years","Number","Total",":",""
"2000","Latvia","Total","Age in completed years","Number","Total","22,911",""
"2000","Lithuania","Total","Age in completed years","Number","Total","21,816",""
"2000","Luxembourg","Total","Age in completed years","Number","Total","8,121",""
"2000","Hungary","Total","Age in completed years","Number","Total","2,540",""
"2000","Malta","Total","Age in completed years","Number","Total",":",""
"2000","Netherlands","Total","Age in completed years","Number","Total","61,201",""
"2000","Austria","Total","Age in completed years","Number","Total","64,472",""
"2000","Poland","Total","Age in completed years","Number","Total","26,999",""
"2000","Portugal","Total","Age in completed years","Number","Total","10,667",""
"2000","Romania","Total","Age in completed years","Number","Total",":",""
"2000","Slovenia","Total","Age in completed years","Number","Total","3,570",""
"2000","Slovakia","Total","Age in completed years","Number","Total","811",""
"2000","Finland","Total","Age in completed years","Number","Total","14,311",""
